tyden,vek,poradi_davky,pocet_davek
2021-W27,50-59,1,10011
2021-W28,80-129,2,5359
2021-W28,80-129,1,1240
2021-W28,70-79,2,23760
2021-W28,70-79,1,5296
2021-W28,60-69,2,34472
2021-W28,60-69,1,10602
2021-W28,50-59,2,41984
2021-W28,50-59,1,14876
2021-W28,40-49,1,23202
2021-W28,30-39,2,128782
2021-W28,30-39,1,28915
2021-W28,0-29,2,34546
2021-W28,0-29,1,69983
2021-W28,40-49,2,127341
2021-W29,60-69,1,8647
2021-W29,80-129,2,3658
2021-W29,80-129,1,1220
2021-W29,70-79,2,14984
2021-W29,70-79,1,4588
2021-W29,60-69,2,24937
2021-W29,50-59,2,28570
2021-W29,0-29,1,59757
2021-W29,40-49,2,69148
2021-W29,40-49,1,18865
2021-W29,30-39,3,2
2021-W29,30-39,2,121506
2021-W29,30-39,1,21988
2021-W29,0-29,2,83357
2021-W29,50-59,1,12941
2021-W30,80-129,2,2500
2021-W30,80-129,1,1239
2021-W30,70-79,3,1
2021-W30,70-79,2,9976
2021-W30,70-79,1,4424
2021-W30,60-69,2,16484
2021-W30,60-69,1,8065
2021-W30,50-59,2,17879
2021-W30,50-59,1,12271
2021-W30,40-49,2,36269
2021-W30,40-49,1,18512
2021-W30,30-39,2,60723
2021-W30,30-39,1,20906
2021-W30,0-29,2,98782
2021-W30,0-29,1,62671
2021-W31,80-129,1,989
2021-W31,70-79,2,7575
2021-W31,70-79,1,3341
2021-W31,60-69,2,13200
2021-W31,60-69,1,6173
2021-W31,50-59,2,16580
2021-W31,50-59,1,9180
2021-W31,80-129,2,1807
2021-W31,40-49,1,14151
2021-W31,30-39,3,1
2021-W31,30-39,2,44907
2021-W31,30-39,1,15568
2021-W31,0-29,2,101048
2021-W31,0-29,1,46079
2021-W31,40-49,2,28079
2021-W32,80-129,2,1828
2021-W32,80-129,1,780
2021-W32,70-79,2,7430
2021-W32,70-79,1,2349
2021-W32,60-69,2,13722
2021-W32,60-69,1,4095
2021-W32,50-59,2,18673
2021-W32,50-59,1,6340
2021-W32,40-49,2,28931
2021-W32,40-49,1,9289
2021-W32,30-39,2,38337
2021-W32,30-39,1,10563
2021-W32,0-29,2,104700
2021-W32,0-29,1,30680
2021-W33,80-129,2,1615
2021-W33,80-129,1,639
2021-W33,70-79,2,6450
2021-W33,70-79,1,2091
2021-W33,60-69,2,12057
2021-W33,60-69,1,3819
2021-W33,50-59,2,17163
2021-W33,0-29,1,24588
2021-W33,40-49,2,27134
2021-W33,40-49,1,8587
2021-W33,30-39,2,34088
2021-W33,30-39,1,9287
2021-W33,0-29,2,92355
2021-W33,50-59,1,6009
2021-W34,80-129,3,1
2021-W34,80-129,2,1263
2021-W34,80-129,1,623
2021-W34,70-79,2,4931
2021-W34,70-79,1,2001
2021-W34,60-69,3,1
2021-W34,60-69,2,9290
2021-W34,60-69,1,3707
2021-W34,50-59,1,5535
2021-W34,50-59,2,13339
2021-W34,40-49,2,22002
2021-W34,40-49,1,8160
2021-W34,30-39,2,27580
2021-W34,30-39,1,8752
2021-W34,0-29,2,76220
2021-W34,0-29,1,24518
2021-W34,50-59,3,4
2021-W35,80-129,2,780
2021-W35,80-129,1,498
2021-W35,70-79,2,2412
2021-W35,70-79,1,1648
2021-W35,60-69,2,4308
2021-W35,60-69,1,2963
2021-W35,50-59,2,6564
2021-W35,50-59,1,4357
2021-W35,40-49,2,10608
2021-W35,40-49,1,6686
2021-W35,30-39,2,13880
2021-W35,30-39,1,7084
2021-W35,0-29,3,1
2021-W35,0-29,2,42488
2021-W35,0-29,1,19506
2021-W36,80-129,3,1
2021-W36,80-129,2,478
2021-W36,80-129,1,530
2021-W36,70-79,3,2
2021-W36,70-79,2,1586
2021-W36,70-79,1,1557
2021-W36,60-69,1,2768
2021-W36,50-59,3,3
2021-W36,50-59,2,4441
2021-W36,60-69,2,2788
2021-W36,40-49,3,1
2021-W36,0-29,2,26550
2021-W36,30-39,1,5904
2021-W36,30-39,2,8820
2021-W36,0-29,1,13727
2021-W36,40-49,1,5454
2021-W36,40-49,2,7103
2021-W36,30-39,3,1
2021-W36,50-59,1,3835
2021-W37,80-129,3,1
2021-W37,60-69,1,2655
2021-W37,80-129,2,411
2021-W37,80-129,1,575
2021-W37,70-79,3,3
2021-W37,70-79,2,1386
2021-W37,70-79,1,1621
2021-W37,60-69,3,4
2021-W37,60-69,2,2419
2021-W37,50-59,3,2
2021-W37,50-59,1,3537
2021-W37,40-49,3,3
2021-W37,40-49,2,5614
2021-W37,40-49,1,5042
2021-W37,30-39,2,6796
2021-W37,30-39,1,5542
2021-W37,0-29,3,1
2021-W37,0-29,2,21599
2021-W37,0-29,1,11779
2021-W37,50-59,2,3703
2021-W38,60-69,1,2189
2021-W38,60-69,2,1992
2021-W38,60-69,3,609
2021-W38,80-129,3,317
2021-W38,50-59,3,602
2021-W38,70-79,3,347
2021-W38,80-129,1,454
2021-W38,80-129,2,365
2021-W38,70-79,2,1148
2021-W38,50-59,2,2842
2021-W38,70-79,1,1376
2021-W38,40-49,3,613
2021-W38,0-29,1,9423
2021-W38,0-29,2,17532
2021-W38,0-29,3,174
2021-W38,30-39,1,4820
2021-W38,50-59,1,2960
2021-W38,30-39,3,344
2021-W38,40-49,1,4259
2021-W38,40-49,2,4661
2021-W38,30-39,2,5407
2021-W39,80-129,3,252
2021-W39,80-129,2,363
2021-W39,80-129,1,280
2021-W39,70-79,3,427
2021-W39,70-79,2,1072
2021-W39,70-79,1,869
2021-W39,60-69,3,909
2021-W39,60-69,1,1435
2021-W39,50-59,3,1153
2021-W39,60-69,2,1820
2021-W39,50-59,2,2523
2021-W39,40-49,3,1259
2021-W39,40-49,2,3769
2021-W39,40-49,1,3223
2021-W39,30-39,3,722
2021-W39,30-39,2,4621
2021-W39,30-39,1,3652
2021-W39,0-29,3,323
2021-W39,0-29,2,13485
2021-W39,0-29,1,7178
2021-W39,50-59,1,2104
2021-W40,60-69,1,1646
2021-W40,60-69,2,1830
2021-W40,60-69,3,2393
2021-W40,70-79,1,878
2021-W40,50-59,3,2839
2021-W40,70-79,3,1374
2021-W40,80-129,1,338
2021-W40,80-129,2,361
2021-W40,70-79,2,1102
2021-W40,80-129,3,1859
2021-W40,50-59,2,2311
2021-W40,40-49,3,2921
2021-W40,0-29,1,7257
2021-W40,0-29,2,11374
2021-W40,0-29,3,697
2021-W40,30-39,1,4121
2021-W40,50-59,1,2317
2021-W40,30-39,3,1436
2021-W40,40-49,1,3547
2021-W40,40-49,2,3515
2021-W40,30-39,2,4282
2021-W41,50-59,3,3659
2021-W41,80-129,2,351
2021-W41,80-129,1,337
2021-W41,70-79,3,2343
2021-W41,70-79,2,1042
2021-W41,70-79,1,872
2021-W41,60-69,3,3170
2021-W41,60-69,2,1544
2021-W41,60-69,1,1532
2021-W41,80-129,3,7018
2021-W41,50-59,2,1994
2021-W41,40-49,3,3532
2021-W41,40-49,2,3051
2021-W41,40-49,1,3699
2021-W41,30-39,3,1542
2021-W41,30-39,2,3693
2021-W41,30-39,1,4295
2021-W41,0-29,3,731
2021-W41,0-29,2,8853
2021-W41,0-29,1,7918
2021-W41,50-59,1,2466
2021-W42,60-69,2,1237
2021-W42,60-69,3,7391
2021-W42,70-79,1,1355
2021-W42,70-79,2,742
2021-W42,60-69,1,2789
2021-W42,80-129,1,443
2021-W42,80-129,2,267
2021-W42,80-129,3,23741
2021-W42,70-79,3,25703
2021-W42,50-59,2,1501
2021-W42,50-59,3,7522
2021-W42,0-29,1,12909
2021-W42,40-49,3,6772
2021-W42,40-49,2,2301
2021-W42,40-49,1,7445
2021-W42,30-39,3,3005
2021-W42,30-39,2,2938
2021-W42,30-39,1,7634
2021-W42,0-29,3,1521
2021-W42,0-29,2,6700
2021-W42,50-59,1,4691
2021-W43,60-69,1,4168
2021-W43,60-69,2,1098
2021-W43,60-69,3,8919
2021-W43,70-79,1,2009
2021-W43,80-129,3,29338
2021-W43,80-129,1,572
2021-W43,80-129,2,259
2021-W43,50-59,3,9155
2021-W43,70-79,2,662
2021-W43,50-59,2,1401
2021-W43,70-79,3,38936
2021-W43,40-49,3,7879
2021-W43,40-49,2,2186
2021-W43,40-49,1,13371
2021-W43,30-39,3,3586
2021-W43,30-39,2,2817
2021-W43,30-39,1,13178
2021-W43,0-29,1,21754
2021-W43,0-29,3,1767
2021-W43,0-29,2,6038
2021-W43,50-59,1,8261
2021-W44,60-69,2,1345
2021-W44,60-69,3,14160
2021-W44,70-79,1,3640
2021-W44,80-129,3,44988
2021-W44,70-79,3,59437
2021-W44,80-129,1,1177
2021-W44,80-129,2,339
2021-W44,60-69,1,7031
2021-W44,70-79,2,880
2021-W44,50-59,3,13439
2021-W44,40-49,2,2757
2021-W44,50-59,1,12567
2021-W44,40-49,3,11705
2021-W44,40-49,1,19708
2021-W44,30-39,3,5015
2021-W44,30-39,2,3566
2021-W44,30-39,1,21201
2021-W44,0-29,3,2452
2021-W44,0-29,2,7714
2021-W44,0-29,1,34179
2021-W44,50-59,2,1828
2021-W45,60-69,1,6237
2021-W45,60-69,3,14801
2021-W45,60-69,2,1783
2021-W45,70-79,1,3563
2021-W45,80-129,3,41822
2021-W45,80-129,1,1246
2021-W45,80-129,2,343
2021-W45,50-59,3,12884
2021-W45,70-79,2,989
2021-W45,50-59,2,2562
2021-W45,70-79,3,58758
2021-W45,40-49,3,11102
2021-W45,0-29,2,9758
2021-W45,0-29,3,2509
2021-W45,0-29,1,33365
2021-W45,30-39,1,19572
2021-W45,50-59,1,10439
2021-W45,30-39,3,4852
2021-W45,40-49,1,16970
2021-W45,40-49,2,4185
2021-W45,30-39,2,4995
2021-W46,60-69,1,5844
2021-W46,80-129,3,28150
2021-W46,80-129,2,451
2021-W46,80-129,1,1362
2021-W46,70-79,3,44544
2021-W46,70-79,2,1315
2021-W46,70-79,1,3403
2021-W46,60-69,3,13242
2021-W46,60-69,2,2422
2021-W46,50-59,3,11406
2021-W46,50-59,2,4278
2021-W46,50-59,1,10153
2021-W46,0-29,2,15211
2021-W46,0-29,3,2284
2021-W46,30-39,1,20839
2021-W46,30-39,2,7824
2021-W46,0-29,1,37442
2021-W46,40-49,1,17153
2021-W46,40-49,2,7038
2021-W46,40-49,3,9959
2021-W46,30-39,3,4318
2021-W47,60-69,1,7040
2021-W47,80-129,2,765
2021-W47,80-129,1,1656
2021-W47,70-79,3,66303
2021-W47,70-79,2,2501
2021-W47,70-79,1,4074
2021-W47,60-69,3,25576
2021-W47,60-69,2,4434
2021-W47,80-129,3,31110
2021-W47,50-59,3,16741
2021-W47,40-49,2,11621
2021-W47,50-59,1,11709
2021-W47,40-49,3,13889
2021-W47,40-49,1,18901
2021-W47,30-39,3,6385
2021-W47,30-39,2,13253
2021-W47,30-39,1,23658
2021-W47,0-29,3,3586
2021-W47,0-29,2,24667
2021-W47,0-29,1,41086
2021-W47,50-59,2,7297
2021-W48,60-69,2,4171
2021-W48,60-69,3,129489
2021-W48,70-79,1,3228
2021-W48,80-129,3,33325
2021-W48,70-79,3,120482
2021-W48,80-129,1,1436
2021-W48,80-129,2,985
2021-W48,60-69,1,5321
2021-W48,70-79,2,2642
2021-W48,50-59,3,28807
2021-W48,40-49,2,10012
2021-W48,50-59,1,7304
2021-W48,40-49,3,22325
2021-W48,40-49,1,11155
2021-W48,30-39,3,9572
2021-W48,30-39,2,12308
2021-W48,30-39,1,14152
2021-W48,0-29,3,5066
2021-W48,0-29,2,24585
2021-W48,0-29,1,24080
2021-W48,50-59,2,6311
2021-W49,60-69,1,3361
2021-W49,60-69,3,182195
2021-W49,60-69,2,4166
2021-W49,70-79,1,2262
2021-W49,80-129,3,30748
2021-W49,80-129,1,1135
2021-W49,80-129,2,1076
2021-W49,50-59,3,38109
2021-W49,70-79,2,2680
2021-W49,50-59,2,6491
2021-W49,70-79,3,126306
2021-W49,40-49,3,28469
2021-W49,0-29,2,27180
2021-W49,0-29,3,7436
2021-W49,0-29,1,15145
2021-W49,30-39,1,8517
2021-W49,50-59,1,4342
2021-W49,30-39,3,13032
2021-W49,40-49,1,6523
2021-W49,40-49,2,10393
2021-W49,30-39,2,13200
2021-W50,60-69,1,2934
2021-W50,80-129,3,23417
2021-W50,80-129,2,1416
2021-W50,80-129,1,1014
2021-W50,70-79,3,89051
2021-W50,70-79,2,3252
2021-W50,70-79,1,1929
2021-W50,60-69,3,138109
2021-W50,60-69,2,5181
2021-W50,50-59,3,90003
2021-W50,50-59,2,7724
2021-W50,50-59,1,3453
2021-W50,0-29,2,31821
2021-W50,0-29,3,8690
2021-W50,30-39,1,7123
2021-W50,30-39,2,16185
2021-W50,0-29,1,16960
2021-W50,40-49,1,5039
2021-W50,40-49,2,12604
2021-W50,40-49,3,36999
2021-W50,30-39,3,14276
2021-W51,60-69,1,1023
2021-W51,80-129,3,8146
2021-W51,80-129,2,915
2021-W51,80-129,1,334
2021-W51,70-79,3,29386
2021-W51,70-79,2,2158
2021-W51,70-79,1,724
2021-W51,60-69,3,48100
2021-W51,60-69,2,3472
